start_station_name,date,hour,trip_count,PRCP,SNOW,TAVG,extreme_weather,event_Basketball,event_Comedy,event_Concert,event_Fair,event_Hockey,day_of_week,is_weekend,week_of_year,month
Central Square at Mass Ave / Essex St,2024-01-06,7,0.0,0.09,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,Saturday,True,1,January
Central Square at Mass Ave / Essex St,2024-01-06,8,1.0,0.09,0.0,33.0,1.0,0.0,0.0,0.0,0.0,0.0,Saturday,True,1,January
Central Square at Mass Ave / Essex St,2024-01-06,9,4.0,0.09,0.0,33.0,1.0,0.0,0.0,0.0,0.0,0.0,Saturday,True,1,January
Central Square at Mass Ave / Essex St,2024-01-06,10,9.0,0.09,0.0,33.0,1.0,0.0,0.0,0.0,0.0,0.0,Saturday,True,1,January
Central Square at Mass Ave / Essex St,2024-01-06,11,5.0,0.09,0.0,33.0,1.0,0.0,0.0,0.0,0.0,0.0,Saturday,True,1,January
Central Square at Mass Ave / Essex St,2024-01-06,12,6.0,0.09000000000000001,0.0,33.0,1.0,0.0,0.0,0.0,0.0,0.0,Saturday,True,1,January
Central Square at Mass Ave / Essex St,2024-01-06,13,6.0,0.09000000000000001,0.0,33.0,1.0,0.0,0.0,0.0,0.0,0.0,Saturday,True,1,January
Central Square at Mass Ave / Essex St,2024-01-06,14,19.0,0.09,0.0,33.0,1.0,0.0,0.0,0.0,0.0,0.0,Saturday,True,1,January
Central Square at Mass Ave / Essex St,2024-01-06,15,9.0,0.09,0.0,33.0,1.0,0.0,0.0,0.0,0.0,0.0,Saturday,True,1,January
Central Square at Mass Ave / Essex St,2024-01-06,16,6.0,0.09000000000000001,0.0,33.0,1.0,0.0,0.0,0.0,0.0,0.0,Saturday,True,1,January
Central Square at Mass Ave / Essex St,2024-01-06,17,12.0,0.09000000000000001,0.0,33.0,1.0,0.0,0.0,0.0,0.0,0.0,Saturday,True,1,January
Central Square at Mass Ave / Essex St,2024-01-06,18,14.0,0.09,0.0,33.0,1.0,0.0,0.0,0.0,0.0,0.0,Saturday,True,1,January
Central Square at Mass Ave / Essex St,2024-01-06,19,11.0,0.09,0.0,33.0,1.0,0.0,0.0,0.0,0.0,0.0,Saturday,True,1,January
